Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BPBLY59,Immix Biopharma Inc,IMMX,<0.01%,Biotechnology,US,---,"$5,533,558.65","685,695"
,BF329J9,Funko Inc,FNKO,<0.01%,Leisure Products,US,---,"$5,525,685.00","1,105,137"
,BNKLRT1,Innovage Holding Corp,INNV,<0.01%,Health Care Services,US,---,"$5,513,285.12","615,322"
,BLLCYB0,Alta Equipment Group Inc,ALTG,<0.01%,Trading Companies & Distributors,US,---,"$5,512,120.20","798,858"
,B06T0P5,FreightCar America Inc,RAIL,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$5,508,682.62","398,314"
,BNZHLY7,Douglas Elliman Inc,DOUG,<0.01%,Real Estate Services,US,---,"$5,505,664.20","2,414,765"
,BG88WJ0,Lovesac Co/The,LOVE,<0.01%,Home Furnishings,US,---,"$5,480,575.20","428,840"
,BKFHHK4,ALT5 Sigma Corp,ALTS,<0.01%,Financial Exchanges & Data,US,---,"$5,455,580.42","3,924,878"
,B57M9P1,Eagle Bancorp Montana Inc,EBMT,<0.01%,Regional Banks,US,---,"$5,452,602.40","251,272"
,BRXXTF2,Seaport Entertainment Group Inc,SEG,<0.01%,Real Estate Operating Companies,US,---,"$5,440,123.52","232,882"
,BN2T5Q6,Sight Sciences Inc,SGHT,<0.01%,Health Care Equipment,US,---,"$5,438,124.00","1,053,900"
,BM8GQP0,908 Devices Inc,MASS,<0.01%,Electronic Equipment & Instruments,US,---,"$5,400,333.30","782,657"
,B17FVR8,InfuSystem Holdings Inc,INFU,<0.01%,Health Care Services,US,---,"$5,370,914.63","612,419"
,BRXJ8Q4,Cibus Inc,CBUS,<0.01%,Biotechnology,US,---,"$5,370,544.08","1,455,432"
,2019736,inTEST Corp,INTT,<0.01%,Semiconductor Materials & Equipment,US,---,"$5,368,261.75","460,795"
,BYMG199,NexPoint Diversified Real Estate Trust,NXDT,<0.01%,Diversified REITs,US,---,"$5,339,581.70","1,199,906"
,2548597,KORU Medical Systems Inc,KRMD,<0.01%,Health Care Equipment,US,---,"$5,317,223.94","1,114,722"
,BQSB4S2,Proficient Auto Logistics Inc,PAL,<0.01%,Cargo Ground Transportation,US,---,"$5,286,289.97","698,321"
,BKVK9N4,European Wax Center Inc,EWCZ,<0.01%,Specialized Consumer Services,US,---,"$5,271,797.96","921,643"
,BNNRMX5,Barnes & Noble Education Inc,BNED,<0.01%,Other Specialty Retail,US,---,"$5,200,163.75","601,175"
,BH3N8W2,Concrete Pumping Holdings Inc,BBCP,<0.01%,Construction & Engineering,US,---,"$5,196,445.64","770,986"
,BMFZKV4,Angel Oak Mortgage REIT Inc,AOMR,<0.01%,Mortgage REITs,US,---,"$5,191,612.14","605,083"
,BNYJR68,Caribou Biosciences Inc,CRBU,<0.01%,Biotechnology,US,---,"$5,185,998.70","2,729,473"
,BNKC8Y6,Datavault AI Inc,DVLT,<0.01%,Semiconductors,US,---,"$5,174,261.23","7,303,121"
,BWTXL22,Paramount Gold Nevada Corp,PZG,<0.01%,Gold,US,---,"$5,148,660.40","1,980,254"
,BRF3ST7,BV Financial Inc,BVFL,<0.01%,Regional Banks,US,---,"$5,139,185.56","275,117"
,2931595,Unisys Corp,UIS,<0.01%,IT Consulting & Other Services,US,---,"$5,133,297.24","2,112,468"
,BQFN1T1,CAMP4 Therapeutics Corp,CAMP,<0.01%,Biotechnology,US,---,"$5,114,868.81","1,139,169"
,BTXQTX3,Aardvark Therapeutics Inc,AARD,<0.01%,Pharmaceuticals,US,---,"$5,104,288.30","408,670"
,BD0R8C9,MainStreet Bancshares Inc,MNSB,<0.01%,Regional Banks,US,---,"$5,102,270.40","229,832"
,BMTLCT0,Alto Ingredients Inc,ALTO,<0.01%,Specialty Chemicals,US,---,"$5,085,752.04","2,230,593"
,BFZ4V20,Microbot Medical Inc,MBOT,<0.01%,Health Care Equipment,US,---,"$5,084,832.49","2,109,889"
,BNHP622,ECB Bancorp Inc/MD,ECBK,<0.01%,Regional Banks,US,---,"$5,084,544.15","295,785"
,2575045,Gencor Industries Inc,GENC,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$5,073,547.82","324,811"
,BNNXX18,Rani Therapeutics Holdings Inc,RANI,<0.01%,Pharmaceuticals,US,---,"$5,073,390.85","3,703,205"
,BSNTQK1,Virgin Galactic Holdings Inc,SPCE,<0.01%,Aerospace & Defense,US,---,"$5,065,330.20","1,986,404"
,BQKX9X6,Tonix Pharmaceuticals Holding Corp,TNXP,<0.01%,Biotechnology,US,---,"$5,025,400.16","359,728"
,BP92Z62,Elicio Therapeutics Inc,ELTX,<0.01%,Biotechnology,US,---,"$4,998,564.99","384,801"
,2549136,Ohio Valley Banc Corp,OVBC,<0.01%,Regional Banks,US,---,"$4,973,897.88","116,676"
,BMQ67R1,M-Tron Industries Inc,MPTI,<0.01%,Electronic Components,US,---,"$4,946,936.27","78,163"
,2480707,Smith-Midland Corp,SMID,<0.01%,Construction Materials,US,---,"$4,935,147.26","128,486"
,B032TT4,CB Financial Services Inc,CBFV,<0.01%,Regional Banks,US,---,"$4,925,580.19","141,499"
,BS43YZ3,Crescent Biopharma Inc,CBIO,<0.01%,Biotechnology,US,---,"$4,923,604.14","407,246"
,B0406N0,First Internet Bancorp,INBK,<0.01%,Regional Banks,US,---,"$4,911,856.56","242,202"
,BNKJ933,Olaplex Holdings Inc,OLPX,<0.01%,Personal Care Products,US,---,"$4,907,779.10","3,048,310"
,BYM4WL2,JELD-WEN Holding Inc,JELD,<0.01%,Building Products,US,---,"$4,900,642.88","2,500,328"
,BN0WQK8,AlTi Global Inc,ALTI,<0.01%,Asset Management & Custody Banks,US,---,"$4,890,418.76","1,103,932"
,2169589,Acacia Research Corp,ACTG,<0.01%,Specialized Finance,US,---,"$4,879,342.99","1,164,521"
,BZ9NRB4,Priority Technology Holdings Inc,PRTH,<0.01%,Transaction & Payment Processing Services,US,---,"$4,867,150.20","876,964"
,BR54FG6,Venu Holding Corp,VENU,<0.01%,Restaurants,US,---,"$4,839,568.30","939,722"
,BGMGBT3,Richmond Mutual BanCorp Inc,RMBI,<0.01%,Regional Banks,US,---,"$4,838,373.00","358,398"
,BTFHQP5,Sutro Biopharma Inc,STRO,<0.01%,Biotechnology,US,---,"$4,823,223.28","235,624"
,BMX0JN6,Avita Medical Inc,RCEL,<0.01%,Biotechnology,US,---,"$4,820,757.03","958,401"
,BMHF2H2,Karyopharm Therapeutics Inc,KPTI,<0.01%,Biotechnology,US,---,"$4,790,903.89","509,129"
,2068512,BRT Apartments Corp,BRT,<0.01%,Multi-Family Residential REITs,US,---,"$4,759,593.48","324,444"
,BMDJ0D0,Viant Technology Inc,DSP,<0.01%,Application Software,US,---,"$4,749,865.83","468,891"
,BKP4Q64,Finwise Bancorp,FINW,<0.01%,Regional Banks,US,---,"$4,738,792.84","281,401"
,B1W52D6,FONAR Corp,FONR,<0.01%,Health Care Equipment,US,---,"$4,727,413.20","254,162"
,BVK6BG7,Terrestrial Energy Inc,IMSR,<0.01%,Construction & Engineering,US,---,"$4,705,800.00","682,000"
,2775317,Security National Financial Corp,SNFCA,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$4,693,487.70","518,045"
,BHCQVP6,Tucows Inc,TCX,<0.01%,Internet Services & Infrastructure,US,---,"$4,683,554.80","257,905"
,B8DV0M7,SB Financial Group Inc,SBFG,<0.01%,Regional Banks,US,---,"$4,678,971.84","225,384"
,BNR5QT9,Quantum-Si Inc,QSI,<0.01%,Life Sciences Tools & Services,US,---,"$4,662,191.77","4,874,730"
,BN70ZG4,Inseego Corp,INSG,<0.01%,Communications Equipment,US,---,"$4,650,503.65","376,559"
,BSLSJ78,CEA Industries Inc,BNC,<0.01%,Building Products,US,---,"$4,631,835.96","1,354,338"
,BV6G2Q8,GrafTech International Ltd,EAF,<0.01%,Electrical Components & Equipment,US,---,"$4,623,890.60","665,308"
,BNG1NK8,Nautilus Biotechnology Inc,NAUT,<0.01%,Life Sciences Tools & Services,US,---,"$4,611,544.74","1,905,597"
,BPRB2N7,Orchestra BioMed Holdings Inc,OBIO,<0.01%,Health Care Equipment,US,---,"$4,599,275.94","1,050,063"
,BRJW0F0,GCI LIBERTY INC-CL A,GLIBA,<0.01%,Integrated Telecommunication Services,US,---,"$4,581,942.52","115,298"
,2083526,Bassett Furniture Industries Inc,BSET,<0.01%,Home Furnishings,US,---,"$4,580,715.21","305,993"
,BNHTR76,Corbus Pharmaceuticals Holdings Inc,CRBP,<0.01%,Biotechnology,US,---,"$4,572,737.75","533,575"
,2813961,America's Car-Mart Inc/TX,CRMT,<0.01%,Automotive Retail,US,---,"$4,555,730.28","228,243"
,BQPG4S0,Smith Douglas Homes Corp,SDHC,<0.01%,Homebuilding,US,---,"$4,555,009.60","290,128"
,2352839,Franklin Covey Co,FC,<0.01%,Research & Consulting Services,US,---,"$4,552,234.68","349,634"
,BRF1R61,SR Bancorp Inc,SRBK,<0.01%,Regional Banks,US,---,"$4,543,918.35","274,557"
,BRQPHW8,Claritev Corp,CTEV,<0.01%,Health Care Technology,US,---,"$4,539,605.52","337,016"
,2647751,Greene County Bancorp Inc,GCBC,<0.01%,Regional Banks,US,---,"$4,535,385.00","205,500"
,2867805,Ascent Industries Co,ACNT,<0.01%,Specialty Chemicals,US,---,"$4,534,547.16","264,251"
,2006329,Acme United Corp,ACU,<0.01%,Health Care Supplies,US,---,"$4,533,317.18","100,718"
,BVDGZ39,Starz Entertainment Corp,STRZ,<0.01%,Movies & Entertainment,US,---,"$4,532,968.00","412,088"
,2761123,Core Molding Technologies Inc,CMT,<0.01%,Commodity Chemicals,US,---,"$4,525,197.00","247,956"
,BJSVLL5,Inogen Inc,INGN,<0.01%,Health Care Equipment,US,---,"$4,513,792.60","739,966"
,BD0NG78,Atomera Inc,ATOM,<0.01%,Semiconductor Materials & Equipment,US,---,"$4,489,909.20","890,855"
,BRBDTR6,TriSalus Life Sciences Inc,TLSI,<0.01%,Biotechnology,US,---,"$4,475,074.12","884,402"
,BP2NYN2,Sagimet Biosciences Inc,SGMT,<0.01%,Biotechnology,US,---,"$4,446,531.17","778,727"
,BLCY4W6,Orion Properties Inc,ONL,<0.01%,Office REITs,US,---,"$4,445,982.15","1,785,535"
,BN13S71,OmniAb Inc,OABI,<0.01%,Life Sciences Tools & Services,US,---,"$4,436,970.48","2,579,634"
,2714569,United Security Bancshares/Fresno CA,UBFO,<0.01%,Regional Banks,US,---,"$4,434,202.64","426,776"
,BNKTVH1,ACRES Commercial Realty Corp,ACR,<0.01%,Mortgage REITs,US,---,"$4,432,052.91","239,441"
,BCZS820,Fate Therapeutics Inc,FATE,<0.01%,Biotechnology,US,---,"$4,401,684.28","2,974,111"
,2736109,Richardson Electronics Ltd/United States,RELL,<0.01%,Technology Distributors,US,---,"$4,372,699.24","356,083"
,BNNTVV2,1stdibs.com Inc,DIBS,<0.01%,Broadline Retail,US,---,"$4,368,826.80","908,280"
,BMCCHR3,Lucid Diagnostics Inc,LUCD,<0.01%,Health Care Equipment,US,---,"$4,356,434.88","3,025,302"
,2321561,Escalade Inc,ESCA,<0.01%,Leisure Products,US,---,"$4,348,353.60","301,969"
,BMDLW29,Bakkt Inc,BKKT,<0.01%,Financial Exchanges & Data,US,---,"$4,333,710.52","453,317"
,BYXM5L6,Smart Sand Inc,SND,<0.01%,Oil & Gas Equipment & Services,US,---,"$4,326,534.51","833,629"
,BD079V5,SKYX Platforms Corp,SKYX,<0.01%,Electrical Components & Equipment,US,---,"$4,324,275.01","2,240,557"
,BMHD630,CuriosityStream Inc,CURI,<0.01%,Movies & Entertainment,US,---,"$4,303,263.90","1,273,155"
,BN2XDN1,CF Bankshares Inc,CFBK,<0.01%,Regional Banks,US,---,"$4,289,759.22","141,951"
,BF22688,Hamilton Beach Brands Holding Co,HBB,<0.01%,Household Appliances,US,---,"$4,265,169.44","224,011"
,BGSPSG0,EVI Industries Inc,EVI,<0.01%,Trading Companies & Distributors,US,---,"$4,254,645.39","218,973"
,2545305,Lifeway Foods Inc,LWAY,<0.01%,Packaged Foods & Meats,US,---,"$4,236,415.84","191,174"
,2215341,Comtech Telecommunications Corp,CMTL,<0.01%,Communications Equipment,US,---,"$4,228,948.40","842,420"
,2864301,Superior Group of Cos Inc,SGC,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$4,206,069.96","423,572"
,BMBSDL8,Playboy Inc,PLBY,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$4,205,833.37","2,202,007"
,BN0TRH3,Finward Bancorp,FNWD,<0.01%,Regional Banks,US,---,"$4,180,173.04","111,889"
,2031688,Ampco-Pittsburgh Corp,AP,<0.01%,Steel,US,---,"$4,174,566.40","458,240"
,BMTD3M6,Open Lending Corp,LPRO,<0.01%,Financial Exchanges & Data,US,---,"$4,159,004.43","3,127,071"
,BK8WN64,Envela Corp,ELA,<0.01%,Other Specialty Retail,US,---,"$4,145,814.60","308,010"
,B8J3C43,Stereotaxis Inc,STXS,<0.01%,Health Care Equipment,US,---,"$4,136,428.08","1,915,013"
,BNKDSV6,Modiv Industrial Inc,MDV,<0.01%,Diversified REITs,US,---,"$4,131,739.92","266,392"
,2166397,Kronos Worldwide Inc,KRO,<0.01%,Commodity Chemicals,US,---,"$4,126,279.43","710,203"
,2620042,Landmark Bancorp Inc/Manhattan KS,LARK,<0.01%,Regional Banks,US,---,"$4,111,927.94","148,231"
,BMDMZV2,American Outdoor Brands Inc,AOUT,<0.01%,Leisure Products,US,---,"$4,079,793.90","448,329"
,2958293,Westwood Holdings Group Inc,WHG,<0.01%,Asset Management & Custody Banks,US,---,"$4,062,070.92","242,367"
,BN0VNB5,HighPeak Energy Inc,HPK,<0.01%,Oil & Gas Exploration & Production,US,---,"$4,055,312.91","778,371"
,BMQ5T49,Zentalis Pharmaceuticals Inc,ZNTL,<0.01%,Biotechnology,US,---,"$4,049,678.14","1,694,426"
,BD2ZJQ2,Global Water Resources Inc,GWRS,<0.01%,Water Utilities,US,---,"$4,029,319.12","439,882"
,B7ZN8B9,Galectin Therapeutics Inc,GALT,<0.01%,Biotechnology,US,---,"$4,027,300.14","1,351,443"
,BMZ8228,Cardiff Oncology Inc,CRDF,<0.01%,Biotechnology,US,---,"$4,021,864.44","2,073,126"
,B0FPH75,Omega Flex Inc,OFLX,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$4,010,183.23","111,611"
,BF4HN46,Sleep Number Corp,SNBR,<0.01%,Homefurnishing Retail,US,---,"$4,009,420.25","649,825"
,BVN2B39,ChargePoint Holdings Inc,CHPT,<0.01%,Electrical Components & Equipment,US,---,"$3,991,623.30","633,591"
,BJCYG26,OneWater Marine Inc,ONEW,<0.01%,Automotive Retail,US,---,"$3,985,478.64","350,064"
,BQB4DZ8,Hanover Bancorp Inc,HNVR,<0.01%,Regional Banks,US,---,"$3,980,300.28","192,471"
,2704292,Pro-Dex Inc,PDEX,<0.01%,Health Care Equipment,US,---,"$3,965,656.38","89,498"
,BMGH6N3,ZipRecruiter Inc,ZIP,<0.01%,Interactive Media & Services,US,---,"$3,919,889.85","2,165,685"
,2367781,Evolution Petroleum Corp,EPM,<0.01%,Oil & Gas Exploration & Production,US,---,"$3,918,084.63","876,529"
,BPG9KV6,Nuvectis Pharma Inc,NVCT,<0.01%,Biotechnology,US,---,"$3,895,626.82","439,687"
,B89MJ94,Geospace Technologies Corp,GEOS,<0.01%,Oil & Gas Equipment & Services,US,---,"$3,849,217.54","419,762"
,BVDCVR3,Unicycive Therapeutics Inc,UNCY,<0.01%,Biotechnology,US,---,"$3,847,383.54","555,178"
,BFDV8K0,MacroGenics Inc,MGNX,<0.01%,Biotechnology,US,---,"$3,831,764.90","1,925,510"
,BK80YJ8,Nkarta Inc,NKTX,<0.01%,Biotechnology,US,---,"$3,822,722.10","1,415,823"
,2352420,Friedman Industries Inc,FRD,<0.01%,Steel,US,---,"$3,814,752.24","204,984"
,BRK0127,Joint Corp/The,JYNT,<0.01%,Health Care Facilities,US,---,"$3,797,340.80","431,516"
,B1BQMW9,ReposiTrak Inc,TRAK,<0.01%,Application Software,US,---,"$3,791,973.30","435,859"
,2014021,Alexander's Inc,ALX,<0.01%,Retail REITs,US,---,"$3,773,393.46","16,083"
,BN6V126,Inovio Pharmaceuticals Inc,INO,<0.01%,Biotechnology,US,---,"$3,768,043.52","2,081,792"
,BNBV5L8,Brand Engagement Network Inc,BNAI,<0.01%,IT Consulting & Other Services,US,---,"$3,759,986.94","105,380.8"
,BRC3Q30,Legacy Education Inc,LGCY,<0.01%,Education Services,US,---,"$3,749,997.87","272,331"
,B066PX9,Universal Logistics Holdings Inc,ULH,<0.01%,Cargo Ground Transportation,US,---,"$3,748,451.89","225,403"
,BVBFJH0,Wolfspeed Inc,WOLF,<0.01%,Semiconductors,US,---,"$3,747,214.12","190,021"
,BF5MM09,OptimizeRx Corp,OPRX,<0.01%,Health Care Technology,US,---,"$3,746,430.16","494,252"
,BN941G6,J Jill Inc,JILL,<0.01%,Apparel Retail,US,---,"$3,745,880.27","216,901"
,BF23JJ3,RE/MAX Holdings Inc,RMAX,<0.01%,Real Estate Services,US,---,"$3,726,504.21","592,449"
,BBXZ194,Arq Inc,ARQ,<0.01%,Specialty Chemicals,US,---,"$3,709,368.00","1,056,800"
,BSKS2D6,BRC Group Holdings Inc,RILY,<0.01%,Investment Banking & Brokerage,US,---,"$3,707,917.95","574,871"
,2519849,TrueBlue Inc,TBI,<0.01%,Human Resource & Employment Services,US,---,"$3,704,777.82","875,834"
,BJRFDF6,Paysign Inc,PAYS,<0.01%,Transaction & Payment Processing Services,US,---,"$3,699,078.70","1,041,994"
,2697853,Resources Connection Inc,RGP,<0.01%,Research & Consulting Services,US,---,"$3,681,479.92","979,117"
,2025711,American Vanguard Corp,AVD,<0.01%,Fertilizers & Agricultural Chemicals,US,---,"$3,673,685.95","796,895"
,BMFYH21,Selectquote Inc,SLQT,<0.01%,Insurance Brokers,US,---,"$3,671,295.57","4,268,452"
,BKY5HD2,Kaltura Inc,KLTR,<0.01%,Application Software,US,---,"$3,671,049.77","2,641,043"
,BM8J3J2,KinderCare Learning Cos Inc,KLC,<0.01%,Education Services,US,---,"$3,661,518.00","1,046,148"
,BS7XQ21,Streamex Corp,STEX,<0.01%,Health Care Equipment,US,---,"$3,647,770.80","1,643,140"
,BMYDW46,Surf Air Mobility Inc,SRFM,<0.01%,Passenger Airlines,US,---,"$3,642,935.40","1,868,172"
,BNNXX52,Tenaya Therapeutics Inc,TNYA,<0.01%,Biotechnology,US,---,"$3,638,115.68","6,475,820"
,BV4K5L8,KULR Technology Group Inc,KULR,<0.01%,Electrical Components & Equipment,US,---,"$3,630,477.85","1,291,985"
,2572604,Maui Land & Pineapple Co Inc,MLP,<0.01%,Real Estate Operating Companies,US,---,"$3,624,132.40","220,312"
,BMNQC35,GoPro Inc,GPRO,<0.01%,Consumer Electronics,US,---,"$3,603,373.93","3,723,263"
,BHNDW97,Apyx Medical Corp,APYX,<0.01%,Health Care Equipment,US,---,"$3,582,363.48","1,095,524"
,2848253,BCB Bancorp Inc,BCBP,<0.01%,Regional Banks,US,---,"$3,576,384.00","447,048"
,BJCWJK9,QuickLogic Corp,QUIK,<0.01%,Semiconductors,US,---,"$3,574,823.95","434,365"
,BPTH5D4,Genelux Corp,GNLX,<0.01%,Biotechnology,US,---,"$3,549,555.48","1,191,126"
,BFZNZC5,Domo Inc,DOMO,<0.01%,Application Software,US,---,"$3,541,233.44","986,416"
,BP5GWR8,Journey Medical Corp,DERM,<0.01%,Pharmaceuticals,US,---,"$3,526,278.21","431,613"
,BP0TJN7,Xponential Fitness Inc,XPOF,<0.01%,Leisure Facilities,US,---,"$3,519,812.22","826,247"
,BLR8WK7,Acumen Pharmaceuticals Inc,ABOS,<0.01%,Biotechnology,US,---,"$3,511,531.08","1,118,322"
,BNLZ6B7,Star Holdings,STHO,<0.01%,Real Estate Development,US,---,"$3,500,057.66","388,033"
,BNK9MY5,Century Therapeutics Inc,IPSC,<0.01%,Biotechnology,US,---,"$3,496,949.92","1,507,306"
,2490728,Kewaunee Scientific Corp,KEQU,<0.01%,Health Care Equipment,US,---,"$3,492,960.12","84,188"
,B3BBRD4,FutureFuel Corp,FF,<0.01%,Oil & Gas Refining & Marketing,US,---,"$3,486,153.60","806,980"
,2573083,Sangamo Therapeutics Inc,SGMO,<0.01%,Biotechnology,US,---,"$3,439,797.70","7,956,969"
,BTNLPC9,Omada Health Inc,OMDA,<0.01%,Health Care Services,US,---,"$3,429,202.28","279,251"
,BL1J6B5,Nexpoint Real Estate Finance Inc,NREF,<0.01%,Mortgage REITs,US,---,"$3,416,814.80","235,480"
,BMV9M81,MNTN Inc,MNTN,<0.01%,Advertising,US,---,"$3,411,959.36","349,586"
,BRJF7G9,Agenus Inc,AGEN,<0.01%,Biotechnology,US,---,"$3,403,832.76","1,022,172"
,BYN8NH6,DMC Global Inc,BOOM,<0.01%,Oil & Gas Equipment & Services,US,---,"$3,402,882.71","577,739"
,2446367,Hurco Cos Inc,HURC,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$3,364,297.86","189,966"
,2934033,Medifast Inc,MED,<0.01%,Personal Care Products,US,---,"$3,358,859.40","318,980"
,BSZBBL1,Blaize Holdings Inc,BZAI,<0.01%,Semiconductors,US,---,"$3,348,021.08","2,837,306"
,BSVLRS4,Innventure Inc,INV,<0.01%,Asset Management & Custody Banks,US,---,"$3,345,801.16","1,178,099"
,BKLCX50,Health Catalyst Inc,HCAT,<0.01%,Health Care Technology,US,---,"$3,334,400.64","2,058,272"
,BM8F4N1,LENSAR Inc,LNSR,<0.01%,Health Care Equipment,US,---,"$3,303,372.87","275,971"
,2117920,Riverview Bancorp Inc,RVSB,<0.01%,Regional Banks,US,---,"$3,290,116.25","614,975"
,2321679,Espey Mfg. & Electronics Corp,ESP,<0.01%,Electrical Components & Equipment,US,---,"$3,288,801.96","56,772"
,BYPFK63,Ovid therapeutics Inc,OVID,<0.01%,Biotechnology,US,---,"$3,274,207.08","2,008,716"
,BSD51T3,AIRO Group Holdings Inc,AIRO,<0.01%,Aerospace & Defense,US,---,"$3,272,808.00","333,960"
,BMFKSC6,AEye Inc,LIDR,<0.01%,Electronic Equipment & Instruments,US,---,"$3,263,600.00","1,990,000"
,BNLYJ82,Rapid Micro Biosystems Inc,RPID,<0.01%,Life Sciences Tools & Services,US,---,"$3,251,760.72","750,984"
,BPT3606,Intellicheck Inc,IDN,<0.01%,Application Software,US,---,"$3,249,201.60","668,560"
,BV2HGM9,Fermi Inc,FRMI,<0.01%,Data Center REITs,US,---,"$3,248,714.53","325,849"
,BV6GSF9,Rithm Property Trust Inc,RPT,<0.01%,Mortgage REITs,US,---,"$3,232,174.40","221,990"
,BJRFDJ0,Rekor Systems Inc,REKR,<0.01%,Application Software,US,---,"$3,230,945.09","3,768,745"
,BPG5F19,Lucky Strike Entertainment Corp,LUCK,<0.01%,Leisure Facilities,US,---,"$3,212,305.56","383,788"
,BKTV702,Black Diamond Therapeutics Inc,BDTX,<0.01%,Biotechnology,US,---,"$3,203,715.97","1,297,051"
,BZ0HC54,Seritage Growth Properties,SRG,<0.01%,Real Estate Operating Companies,US,---,"$3,200,822.64","1,081,359"
,BGPYWG8,Epsilon Energy Ltd,EPSN,<0.01%,Oil & Gas Exploration & Production,US,---,"$3,186,821.12","622,426"
,2495507,KVH Industries Inc,KVHI,<0.01%,Communications Equipment,US,---,"$3,181,253.13","527,571"
,BJ0LV13,Immunic Inc,IMUX,<0.01%,Biotechnology,US,---,"$3,149,645.76","3,087,888"
,BSHSLK9,AirJoule Technologies Corp,AIRJ,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$3,148,164.72","974,664"
,BM8PWZ9,Sui Group Holdings Ltd,SUIG,<0.01%,Specialized Finance,US,---,"$3,147,025.14","2,497,639"
,BWX70S9,DHI Group Inc,DHX,<0.01%,Interactive Media & Services,US,---,"$3,145,746.48","1,263,352"
,BPCR520,Biodesix Inc,BDSX,<0.01%,Health Care Services,US,---,"$3,128,853.00","204,100"
,BPG4DP6,TechTarget Inc,TTGT,<0.01%,Advertising,US,---,"$3,125,890.17","890,567"
,BMYH7M1,Whitehawk Therapeutics Inc,WHWK,<0.01%,Biotechnology,US,---,"$3,116,781.72","887,972"
,BNVVLD2,BARK Inc,BARK,<0.01%,Other Specialty Retail,US,---,"$3,115,471.25","3,987,548"
,BJVLKZ9,Cassava Sciences Inc,SAVA,<0.01%,Pharmaceuticals,US,---,"$3,114,122.04","1,365,843"
,BMCCS58,Sunrise Realty Trust Inc,SUNS,<0.01%,Mortgage REITs,US,---,"$3,114,007.06","332,338"
,B8XBPS8,Silvercrest Asset Management Group Inc,SAMG,<0.01%,Asset Management & Custody Banks,US,---,"$3,109,863.45","204,529"
,BMCF448,Coeptis Therapeutics Holdings Inc,COEP,<0.01%,Biotechnology,US,---,"$3,065,904.22","254,749"
,BSVLTH7,Chain Bridge Bancorp Inc,CBNA,<0.01%,Regional Banks,US,---,"$3,043,900.50","88,229"
,BQ3R1Y0,Getty Images Holdings Inc,GETY,<0.01%,Interactive Media & Services,US,---,"$3,017,589.70","3,878,650"
,BMXDBQ2,LifeMD Inc,LFMD,<0.01%,Health Care Technology,US,---,"$3,012,563.67","1,128,301"
,BMCMWY5,Thryv Holdings Inc,THRY,<0.01%,Advertising,US,---,"$2,992,226.96","1,289,753"
,BMFZ3K4,Coya Therapeutics Inc,COYA,<0.01%,Biotechnology,US,---,"$2,981,540.32","601,117"
,2300087,Eastern Co/The,EML,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$2,961,357.90","159,470"
,2718969,RCM Technologies Inc,RCMT,<0.01%,Research & Consulting Services,US,---,"$2,946,499.47","155,817"
,BJ0CK86,Gossamer Bio Inc,GOSS,<0.01%,Biotechnology,US,---,"$2,936,455.86","6,910,934"
,BN6HHQ0,Montauk Renewables Inc,MNTK,<0.01%,Renewable Electricity,US,---,"$2,926,183.26","1,900,119"
,BDTYXN7,Coda Octopus Group Inc,CODA,<0.01%,Electronic Equipment & Instruments,US,---,"$2,921,691.84","215,464"
,BDT5ZF6,Biglari Holdings Inc,BH/A,<0.01%,Restaurants,US,---,"$2,902,169.85","1,459"
,BQPDJX1,SunPower Inc,SPWR,<0.01%,Electrical Components & Equipment,US,---,"$2,874,496.30","2,211,151"
,2031804,AMREP Corp,AXR,<0.01%,Real Estate Development,US,---,"$2,859,255.18","113,193"
,BVMTJ48,Kestrel Group Ltd,KG,<0.01%,Reinsurance,US,---,"$2,839,562.73","184,507"
,BMJ0GK6,vTv Therapeutics Inc,VTVT,<0.01%,Biotechnology,US,---,"$2,837,043.36","74,346"
,BV1DMD1,Carlsmed Inc,CARL,<0.01%,Health Care Equipment,US,---,"$2,835,875.66","194,638"
,BMZN2Y5,RideNow Group Inc,RDNW,<0.01%,Automotive Retail,US,---,"$2,828,021.04","436,423"
,BSBJKP6,Korro Bio Inc,KRRO,<0.01%,Biotechnology,US,---,"$2,827,042.06","233,062"
,BLBQL66,Arena Group Holdings Inc/The,AREN,<0.01%,Interactive Media & Services,US,---,"$2,816,539.09","974,581"
,BPLV664,Strawberry Fields REIT Inc,STRW,<0.01%,Health Care REITs,US,---,"$2,796,185.60","218,452"
,2136055,Provident Financial Holdings Inc,PROV,<0.01%,Regional Banks,US,---,"$2,793,856.00","174,616"
,BF7NLD6,Anixa Biosciences Inc,ANIX,<0.01%,Biotechnology,US,---,"$2,792,042.46","936,927"
