Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BVLZX12,Equinix Inc,EQIX,0.14%,Data Center REITs,US,---,"$3,025,600,477.62","3,105,537"
,2954699,Western Digital Corp,WDC,0.14%,"Technology Hardware, Storage & Peripherals",US,---,"$3,024,496,792.00","10,813,360"
,BSNPZV3,SANDISK CORP,SNDK,0.14%,"Technology Hardware, Storage & Peripherals",US,---,"$2,966,123,519.04","4,668,414"
,BFSSDS9,Intercontinental Exchange Inc,ICE,0.14%,Financial Exchanges & Data,US,---,"$2,959,726,910.73","18,032,821"
,2567741,Marsh & McLennan Cos Inc,MRSH,0.14%,Insurance Brokers,US,---,"$2,893,990,078.20","15,497,430"
,2967181,Williams Cos Inc/The,WMB,0.14%,Oil & Gas Storage & Transportation,US,---,"$2,885,847,869.92","38,622,161"
,B7FBFL2,American Tower Corp,AMT,0.14%,Telecom Tower REITs,US,---,"$2,840,927,043.12","14,807,292"
,BJJP138,Crowdstrike Holdings Inc,CRWD,0.13%,Systems Software,US,---,"$2,805,036,455.48","7,540,826"
,BY7QL61,Johnson Controls International plc,JCI,0.13%,Building Products,US,---,"$2,788,943,098.50","19,327,395"
,2595708,3M Co,MMM,0.13%,Industrial Conglomerates,US,---,"$2,777,234,651.40","16,799,145"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.13%,"Technology Hardware, Storage & Peripherals",US,---,"$2,754,682,276.64","6,754,321"
,2365161,General Dynamics Corp,GD,0.13%,Aerospace & Defense,US,---,"$2,745,093,233.00","7,688,260"
,2065308,Automatic Data Processing Inc,ADP,0.13%,Human Resource & Employment Services,US,---,"$2,741,387,232.52","12,788,707"
,2517382,United Parcel Service Inc,UPS,0.13%,Air Freight & Logistics,US,---,"$2,710,957,988.44","23,378,389"
,2804211,Sherwin-Williams Co/The,SHW,0.13%,Specialty Chemicals,US,---,"$2,699,802,354.38","7,445,882"
,2736035,US Bancorp,USB,0.13%,Diversified Banks,US,---,"$2,684,401,411.38","49,110,893"
,2313405,Emerson Electric Co,EMR,0.13%,Electrical Components & Equipment,US,---,"$2,678,570,622.00","17,768,296"
,B4MGBG6,HCA Healthcare Inc,HCA,0.13%,Health Care Facilities,US,---,"$2,675,775,312.40","5,051,492"
,2150204,Quanta Services Inc,PWR,0.13%,Construction & Engineering,US,---,"$2,655,204,866.16","4,715,502"
,BKF2SL7,Blackstone Inc,BX,0.13%,Asset Management & Custody Banks,US,---,"$2,648,035,580.31","23,357,463"
,2692665,PNC Financial Services Group Inc/The,PNC,0.13%,Diversified Banks,US,---,"$2,631,556,718.40","12,392,544"
,B1Z77F6,Bank of New York Mellon Corp/The,BK,0.13%,Asset Management & Custody Banks,US,---,"$2,626,108,193.70","22,049,607"
,2142784,FedEx Corp,FDX,0.12%,Air Freight & Logistics,US,---,"$2,598,810,264.00","6,715,272"
,2302232,Cadence Design Systems Inc,CDNS,0.12%,Application Software,US,---,"$2,594,682,675.20","8,608,768"
,2240202,Cummins Inc,CMI,0.12%,Construction Machinery & Heavy Transportation Equipment,US,---,"$2,548,761,872.30","4,365,290"
,B01ZKD6,CRH PLC,CRH,0.12%,Construction Materials,US,---,"$2,542,187,231.50","21,188,425"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.12%,Communications Equipment,US,---,"$2,540,670,103.08","5,268,258"
,2457552,Illinois Tool Works Inc,ITW,0.12%,Industrial Machinery & Supplies & Components,US,---,"$2,533,055,806.83","8,715,741"
,2209106,Colgate-Palmolive Co,CL,0.12%,Household Products,US,---,"$2,527,165,149.22","25,490,873"
,2160753,CSX Corp,CSX,0.12%,Rail Transportation,US,---,"$2,513,765,601.51","58,884,179"
,B8CKK03,Mondelez International Inc,MDLZ,0.12%,Packaged Foods & Meats,US,---,"$2,513,444,415.18","40,815,921"
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.12%,Automotive Retail,US,---,"$2,505,878,381.28","26,692,356"
,2304227,Ecolab Inc,ECL,0.12%,Specialty Chemicals,US,---,"$2,485,266,156.45","8,059,887"
,BHJ0775,Cigna Group/The,CI,0.12%,Health Care Services,US,---,"$2,448,287,199.66","8,447,613"
,2867719,Synopsys Inc,SNPS,0.12%,Application Software,US,---,"$2,432,225,160.00","5,874,940"
,2730190,Regeneron Pharmaceuticals Inc,REGN,0.12%,Biotechnology,US,---,"$2,425,038,156.27","3,102,381"
,2779201,SLB Ltd,SLB,0.12%,Oil & Gas Equipment & Services,US,---,"$2,424,848,370.48","47,231,172"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.11%,"Hotels, Resorts & Cruise Lines",US,---,"$2,413,975,638.88","7,762,978"
,2640147,NIKE Inc,NKE,0.11%,Footwear,US,---,"$2,338,746,431.42","37,612,519"
,B665KZ5,General Motors Co,GM,0.11%,Automobile Manufacturers,US,---,"$2,321,777,268.99","29,497,869"
,B11FJK3,TransDigm Group Inc,TDG,0.11%,Aerospace & Defense,US,---,"$2,320,735,388.82","1,781,358"
,2210614,Marriott International Inc/MD,MAR,0.11%,"Hotels, Resorts & Cruise Lines",US,---,"$2,319,872,378.76","6,788,612"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.11%,"Hotels, Resorts & Cruise Lines",US,---,"$2,291,194,833.90","7,348,755"
,2252058,Moody's Corp,MCO,0.11%,Financial Exchanges & Data,US,---,"$2,290,576,085.26","4,796,114"
,2026242,American Electric Power Co Inc,AEP,0.11%,Electric Utilities,US,---,"$2,260,472,853.62","16,891,891"
,2641894,Norfolk Southern Corp,NSC,0.11%,Rail Transportation,US,---,"$2,232,789,480.24","7,094,076"
,BNKJSM5,Marvell Technology Inc,MRVL,0.11%,Semiconductors,US,---,"$2,227,366,892.10","27,266,090"
,BSPHGL4,Elevance Health Inc,ELV,0.10%,Managed Health Care,US,---,"$2,196,293,440.00","6,863,417"
,2769503,Travelers Cos Inc/The,TRV,0.10%,Property & Casualty Insurance,US,---,"$2,177,297,793.60","7,054,490"
,2197137,Cintas Corp,CTAS,0.10%,Diversified Support Services,US,---,"$2,173,107,073.70","10,804,490"
,2795393,Cencora Inc,COR,0.10%,Health Care Distributors,US,---,"$2,169,124,422.04","5,828,786"
,BLP1HW5,Aon PLC,AON,0.10%,Insurance Brokers,US,---,"$2,166,854,740.67","6,459,161"
,BK9DTN5,L3Harris Technologies Inc,LHX,0.10%,Aerospace & Defense,US,---,"$2,156,430,537.36","5,915,484"
,BRC3N84,TE Connectivity PLC,TEL,0.10%,Electronic Manufacturing Services,US,---,"$2,140,908,464.65","9,302,231"
,2318024,EOG Resources Inc,EOG,0.10%,Oil & Gas Exploration & Production,US,---,"$2,129,021,096.40","17,158,455"
,2746711,Ross Stores Inc,ROST,0.10%,Apparel Retail,US,---,"$2,114,318,300.36","10,281,649"
,BM8JYX3,Warner Bros Discovery Inc,WBD,0.10%,Movies & Entertainment,US,---,"$2,097,353,517.48","74,453,444"
,2665861,PACCAR Inc,PCAR,0.10%,Construction Machinery & Heavy Transportation Equipment,US,---,"$2,094,009,161.22","16,607,258"
,BDHLTQ5,Baker Hughes Co,BKR,0.10%,Oil & Gas Equipment & Services,US,---,"$2,035,852,917.80","31,196,030"
,2812452,Simon Property Group Inc,SPG,0.10%,Retail REITs,US,---,"$2,001,830,035.05","9,820,113"
,BKP7287,Truist Financial Corp,TFC,0.09%,Regional Banks,US,---,"$1,991,137,602.76","40,379,996"
,B3NQ4P8,Kinder Morgan Inc,KMI,0.09%,Oil & Gas Storage & Transportation,US,---,"$1,989,535,153.98","59,799,674"
,2138158,Sempra,SRE,0.09%,Multi-Utilities,US,---,"$1,987,529,769.90","20,645,370"
,2065955,AutoZone Inc,AZO,0.09%,Automotive Retail,US,---,"$1,975,341,190.50","525,975"
,2041364,Valero Energy Corp,VLO,0.09%,Oil & Gas Refining & Marketing,US,---,"$1,973,888,680.96","9,645,664"
,B78C4Y8,Phillips 66,PSX,0.09%,Oil & Gas Refining & Marketing,US,---,"$1,966,237,506.75","12,740,475"
,2724193,Realty Income Corp,O,0.09%,Retail REITs,US,---,"$1,948,785,986.00","29,086,358"
,2011602,Air Products and Chemicals Inc,APD,0.09%,Industrial Gases,US,---,"$1,939,720,528.62","7,036,386"
,BN13P03,DoorDash Inc,DASH,0.09%,Restaurants,US,---,"$1,927,811,573.94","10,924,302"
,B03GQS4,Digital Realty Trust Inc,DLR,0.09%,Data Center REITs,US,---,"$1,924,967,545.60","10,863,248"
,BP0TQN6,Robinhood Markets Inc,HOOD,0.09%,Investment Banking & Brokerage,US,---,"$1,886,656,871.25","24,873,525"
,B3K3L40,Marathon Petroleum Corp,MPC,0.09%,Oil & Gas Refining & Marketing,US,---,"$1,884,170,187.09","9,505,929"
,2026361,Aflac Inc,AFL,0.09%,Life & Health Insurance,US,---,"$1,870,825,709.06","16,566,242"
,BZ8VJQ8,Vistra Corp,VST,0.09%,Independent Power Producers & Energy Traders,US,---,"$1,864,119,754.01","10,720,109"
,BG1FRR1,KKR & Co Inc,KKR,0.09%,Asset Management & Custody Banks,US,---,"$1,853,963,525.76","21,144,657"
,2359506,Arthur J Gallagher & Co,AJG,0.09%,Insurance Brokers,US,---,"$1,853,815,789.00","8,123,645"
,BZ07BW4,Monster Beverage Corp,MNST,0.09%,Soft Drinks & Non-alcoholic Beverages,US,---,"$1,844,893,478.20","21,628,294"
,2019952,Allstate Corp/The,ALL,0.08%,Property & Casualty Insurance,US,---,"$1,775,713,969.80","8,277,615"
,2615468,Ford Motor Co,F,0.08%,Automobile Manufacturers,US,---,"$1,743,391,094.08","123,732,512"
,2089212,AMETEK Inc,AME,0.08%,Electrical Components & Equipment,US,---,"$1,741,829,476.14","7,281,287"
,BK73B42,Corteva Inc,CTVA,0.08%,Fertilizers & Agricultural Chemicals,US,---,"$1,729,348,377.36","21,584,478"
,2175672,Cardinal Health Inc,CAH,0.08%,Health Care Distributors,US,---,"$1,722,734,969.76","7,515,312"
,BN134B7,Snowflake Inc,SNOW,0.08%,Internet Services & Infrastructure,US,---,"$1,714,598,040.54","10,181,094"
,2542049,Dominion Energy Inc,D,0.08%,Multi-Utilities,US,---,"$1,705,670,968.54","27,014,111"
,2134781,United Rentals Inc,URI,0.08%,Trading Companies & Distributors,US,---,"$1,690,237,080.00","2,012,187"
,2332262,Fastenal Co,FAST,0.08%,Trading Companies & Distributors,US,---,"$1,671,117,056.76","36,297,069"
,BQZJ0Q9,Keysight Technologies Inc,KEYS,0.08%,Electronic Equipment & Instruments,US,---,"$1,663,183,600.27","5,411,719"
,2459202,IDEXX Laboratories Inc,IDXX,0.08%,Health Care Equipment,US,---,"$1,658,691,139.86","2,525,682"
,2065159,Autodesk Inc,ADSK,0.08%,Application Software,US,---,"$1,648,141,354.48","6,703,304"
,2130109,ONEOK Inc,OKE,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,647,140,464.47","19,900,211"
,B95WG16,Zoetis Inc,ZTS,0.08%,Pharmaceuticals,US,---,"$1,644,883,775.70","12,546,787"
,B01Z7J1,Monolithic Power Systems Inc,MPWR,0.08%,Semiconductors,US,---,"$1,644,522,847.70","1,439,105"
,BMGYYH4,Airbnb Inc,ABNB,0.08%,"Hotels, Resorts & Cruise Lines",US,---,"$1,635,543,570.14","12,105,274"
,2380863,WW Grainger Inc,GWW,0.08%,Trading Companies & Distributors,US,---,"$1,635,002,977.51","1,428,287"
,BJXC5M2,Cloudflare Inc,NET,0.08%,Internet Services & Infrastructure,US,---,"$1,631,174,638.71","9,473,109"
,BK4N0D7,Carrier Global Corp,CARR,0.08%,Building Products,US,---,"$1,629,432,056.00","25,301,740"
,2259101,Target Corp,TGT,0.08%,Consumer Staples Merchandise Retail,US,---,"$1,629,340,689.81","14,318,839"
,BS6VHW3,Ferguson Enterprises Inc,FERG,0.08%,Trading Companies & Distributors,US,---,"$1,615,752,663.96","6,196,321"
,2654364,Cheniere Energy Inc,LNG,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,604,563,663.78","6,806,786"
,B55PZY3,Targa Resources Corp,TRGP,0.08%,Oil & Gas Storage & Transportation,US,---,"$1,600,825,921.20","6,788,914"
,2036047,Comfort Systems USA Inc,FIX,0.08%,Construction & Engineering,US,---,"$1,594,296,428.08","1,115,384"
,2087807,Becton Dickinson & Co,BDX,0.08%,Health Care Equipment,US,---,"$1,593,088,666.08","9,027,021"
,2567116,Edwards Lifesciences Corp,EW,0.08%,Health Care Equipment,US,---,"$1,587,091,132.80","18,354,240"
